工号,姓名,身份证号,民族,性别,出生年月,一级部门,二级部门,岗位,职级,参加工作时间,工龄,入职日期,司龄,劳动合同Base地,第一学历,第一学历院校,第一学历专业,最高学历,最高学历院校,最高学历专业,毕业学校,学历,合同到期日,婚育状态,现居地址,紧急联系人姓名,紧急联系人关系,紧急联系人电话,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2024盘点结果,2025盘点结果,最近一次调岗日期,最近一次晋升日期,状态,离职日期,离职原因
EMP0065,高兰,440104197604123875,维吾尔族,男,1976-04-12,产融数字研究院,公共事务部,品牌公关,中级,2019-06-18,5.7,2022-08-02,2.6,武汉,本科,北京交通大学,法学,硕士,哈尔滨工业大学,应用统计学,北京交通大学,本科,2024-07-22,离异,浙江省海淀区人民路165号14楼1565室,林华,其他,16997087664,D,A+,A,A+,B,C,A+,A,D,中绩效-低潜力,中绩效-中潜力,,,在职,,
EMP0066,胡涛,110107196910281634,满族,男,1969-10-28,财务管理部,业财一体化部,财务BA,初级,2013-09-25,11.5,2018-11-04,6.4,北京,本科,中国人民大学,工商管理,硕士,中央财经大学,金融学,中国人民大学,本科,2019-10-28,已婚未育,四川省西湖区解放路827号22楼1429室,黄博,配偶,15382935699,B,A,A,A,C,B,B,B,B,中绩效-低潜力,中绩效-高潜力,,,在职,,
EMP0067,王兰,110101199206258452,回族,男,1992-06-25,产融数字研究院,集团总行部,研究经理,中级,2020-10-06,4.4,2024-04-20,0.9,武汉,硕士,北京交通大学,金融工程,硕士,上海财经大学,金融工程,北京交通大学,硕士,2026-04-10,已婚已育,北京市江干区中关村大街20号5楼1016室,胡华,其他,18363430030,,,,,,B,D,B,D,低绩效-中潜力,低绩效-中潜力,,,离职,2025-11-14,个人原因
EMP0068,郭艳,110109199209015553,汉族,男,1992-09-01,市场运营部,运营管理部,运营数据分析,中级,2019-07-07,5.7,2025-12-06,-0.7,武汉,硕士,西南财经大学,计算机技术,硕士,西南财经大学,计算机技术,西南财经大学,硕士,2026-12-01,已婚未育,北京市浦东新区人民路325号24楼46室,胡宇,其他,17200389514,,,,,,,,,,低绩效-中潜力,中绩效-低潜力,,,在职,,
EMP0069,杨磊,440103196705058928,蒙古族,女,1967-05-05,董事会办公室,董事会办公室,董事长助理,总监,2018-09-08,6.5,2020-07-06,4.7,北京,博士,北京理工大学,管理科学与工程,博士,哈尔滨工业大学,工商管理,北京理工大学,博士,2024-06-15,离异,浙江省徐汇区人民路347号30楼1594室,周敏,子女,18314276342,B,C,B,A+,D,C,A,A+,A,中绩效-高潜力,中绩效-低潜力,,,在职,,
EMP0070,郭龙,440104200312075036,汉族,男,2003-12-07,市场运营部,运营管理部,运营主管,总监,2016-08-18,8.6,2025-07-08,-0.3,南京,本科,上海交通大学,法学,硕士,同济大学,数量经济学,上海交通大学,本科,2026-07-03,未婚,浙江省天河区世纪大道13号5楼244室,何敏,配偶,16933888127,,,,,,,,,,低绩效-中潜力,中绩效-中潜力,,,在职,,
EMP0071,陈杰,110109198911213491,汉族,男,1989-11-21,财务管理部,业财一体化部,流程优化,中级,2009-02-05,16.1,2019-12-07,5.3,深圳,本科,北京大学,财务管理,硕士,华中科技大学,会计学,北京大学,本科,2024-11-10,已婚未育,北京市徐汇区世纪大道994号19楼1974室,陈秀英,子女,19763550020,C,B,D,A,D,B,A,C,D,低绩效-低潜力,中绩效-中潜力,2021-10-27,,在职,,
EMP0072,周颖,110107200102288132,汉族,男,2001-02-28,市场运营部,数字化营销部,营销总监,初级,2016-03-25,9.0,2024-12-14,0.2,深圳,博士,北京航空航天大学,经济学,博士,北京航空航天大学,经济学,北京航空航天大学,博士,2025-12-09,未婚,四川省锦江区建国路158号15楼1346室,朱杰,父母,18739117102,,,,,,B,A,B,A,中绩效-高潜力,中绩效-低潜力,,,在职,,
EMP0073,林晨,110109197207076193,汉族,男,1972-07-07,产融数字研究院,公共事务部,品牌公关,专家,2023-11-05,1.4,2024-02-02,1.1,南京,硕士,哈尔滨工业大学,会计学,硕士,哈尔滨工业大学,会计学,哈尔滨工业大学,硕士,2026-01-22,已婚已育,江苏省武侯区解放路32号27楼520室,孙博,其他,15237162943,,,,,,B,D,B,A+,中绩效-低潜力,中绩效-低潜力,2026-03-07,,在职,,
EMP0074,高芬,110109198806139736,汉族,男,1988-06-13,市场运营部,数字化营销部,营销总监,初级,2014-05-02,10.9,2020-09-01,4.5,南京,大专,北京大学,物流管理,大专,北京大学,物流管理,北京大学,大专,2021-08-27,离异,北京市锦江区人民路223号12楼1854室,高秀英,其他,17160285658,B,A,B,B,B,B,A+,A,B,中绩效-中潜力,低绩效-中潜力,2023-08-11,,在职,,
EMP0075,罗博,310101197607242580,壮族,女,1976-07-24,财务管理部,预算管理部,资金管理,初级,2020-09-06,4.5,2025-12-02,-0.7,深圳,本科,上海财经大学,计算机科学,本科,上海财经大学,计算机科学,上海财经大学,本科,2030-11-06,已婚已育,四川省锦江区中关村大街552号6楼501室,吴英,父母,19816453295,,,,,,,,,,低绩效-低潜力,低绩效-中潜力,,2028-12-14,在职,,
EMP0076,李龙,110107196708209719,汉族,男,1967-08-20,财务管理部,业财一体化部,财务BA,专家,2022-03-03,3.0,2023-11-20,1.3,武汉,本科,武汉大学,计算机科学,本科,武汉大学,计算机科学,武汉大学,本科,2025-11-09,已婚已育,江苏省海淀区解放路183号26楼589室,朱文,子女,13533239130,,B,D,C,B,B,D,C,C,低绩效-中潜力,中绩效-低潜力,,2027-10-14,在职,,
EMP0077,胡兰,440103200307251975,满族,男,2003-07-25,市场运营部,运营管理部,运营数据分析,中级,2015-05-08,9.9,2021-08-27,3.5,杭州,博士,东北财经大学,经济学,博士,上海交通大学,数量经济学,东北财经大学,博士,2025-08-06,未婚,浙江省江干区世纪大道802号11楼1788室,胡颖,子女,18738173313,B,A,A,A,C,D,B,A,B,中绩效-高潜力,中绩效-中潜力,,,在职,,
EMP0078,李艳,11010919700618477X,蒙古族,男,1970-06-18,董事会办公室,董事会办公室,董事长助理,总监,2023-04-17,1.9,2024-01-25,1.1,北京,硕士,复旦大学,工商管理MBA,硕士,复旦大学,工商管理MBA,复旦大学,硕士,2028-12-28,已婚未育,广东省海淀区解放路980号4楼1223室,马思,父母,18424837943,,,,,,C,C,B,B,低绩效-高潜力,中绩效-高潜力,2026-05-04,,在职,,
EMP0079,徐伟,110107199503257868,汉族,女,1995-03-25,财务管理部,预算管理部,资金管理,初级,2011-09-21,13.5,2018-03-09,7.0,南京,本科,上海交通大学,信息管理,本科,上海交通大学,信息管理,上海交通大学,本科,2020-02-27,未婚,上海市浦东新区人民路437号13楼461室,李敏,子女,18508240475,A,B,B,D,A,B,B,A,B,中绩效-低潜力,高绩效-中潜力,2020-09-12,,在职,,
EMP0080,赵雨,110105197802123390,蒙古族,男,1978-02-12,产融数字研究院,公共事务部,品牌公关,中级,2024-02-08,1.1,2025-12-19,-0.8,南京,硕士,上海交通大学,经济学,硕士,上海交通大学,经济学,上海交通大学,硕士,2030-11-23,离异,北京市浦东新区解放路308号25楼411室,胡刚,配偶,14117630687,,,,,,,,,,低绩效-中潜力,中绩效-低潜力,,,离职,2025-07-10,创业
EMP0081,赵博,310101200111286779,汉族,男,2001-11-28,财务管理部,业财一体化部,流程优化,中级,2011-01-02,14.2,2018-08-13,6.6,上海,硕士,中国人民大学,应用统计学,硕士,中央财经大学,工商管理MBA,中国人民大学,硕士,2019-08-08,未婚,广东省浦东新区解放路146号5楼1413室,吴斌,兄弟姐妹,14170536928,C,A,C,B,C,C,C,D,A,低绩效-低潜力,低绩效-中潜力,2020-03-20,,在职,,
EMP0082,郭燕,440104200203084451,壮族,男,2002-03-08,产融数字研究院,专家智库部,首席专家,初级,2022-08-21,2.6,2023-02-27,2.0,上海,博士,北京大学,会计学,博士,中央财经大学,工商管理,北京大学,博士,2025-02-16,未婚,北京市西湖区中关村大街427号3楼1029室,何静,配偶,15233953089,,A+,A,B,A,D,D,D,B,低绩效-高潜力,低绩效-中潜力,,,在职,,
EMP0083,何秀英,440104198205237917,满族,男,1982-05-23,产融数字研究院,集团总行部,行研总监,初级,2016-04-12,8.9,2024-01-26,1.1,成都,大专,上海财经大学,财务管理,大专,上海财经大学,财务管理,上海财经大学,大专,2028-12-28,离异,北京市锦江区世纪大道609号2楼1536室,马兰,其他,13184905154,,,,,,A,B,C,A,中绩效-低潜力,低绩效-中潜力,2026-10-07,,在职,,
EMP0084,赵博,440103196711150552,汉族,男,1967-11-15,市场运营部,运营管理部,供应链运营,初级,2023-04-05,1.9,2025-08-27,-0.5,杭州,本科,北京大学,信息管理,本科,北京大学,信息管理,北京大学,本科,2027-08-17,已婚未育,上海市西湖区世纪大道118号1楼809室,林华,兄弟姐妹,17881591885,,,,,,,,,,低绩效-低潜力,低绩效-中潜力,,,在职,,
EMP0085,高磊,110101200708215570,汉族,男,2007-08-21,市场运营部,运营管理部,客户运营,专家,2019-02-02,6.1,2025-10-05,-0.6,广州,本科,对外经济贸易大学,市场营销,本科,对外经济贸易大学,市场营销,对外经济贸易大学,本科,2027-09-25,未婚,浙江省朝阳区解放路490号19楼1880室,马斌,其他,18543107589,,,,,,,,,,低绩效-低潜力,低绩效-中潜力,,,在职,,
EMP0086,徐英,110106198503161064,汉族,女,1985-03-16,产融数字研究院,集团总行部,数据研究,中级,2010-09-28,14.5,2020-10-18,4.4,深圳,本科,南京大学,市场营销,本科,南京大学,市场营销,南京大学,本科,2022-10-08,已婚已育,四川省海淀区建国路818号28楼241室,杨秀英,子女,18735747661,B,A,D,A+,A,A+,B,A+,A+,中绩效-高潜力,中绩效-中潜力,,2025-01-03,在职,,
EMP0087,吴萱,110109200306110777,汉族,男,2003-06-11,市场运营部,数字化营销部,内容运营,初级,2013-09-10,11.5,2021-10-19,3.4,深圳,硕士,西南财经大学,计算机技术,硕士,中南财经政法大学,会计学,西南财经大学,硕士,2024-10-03,未婚,上海市武侯区世纪大道598号28楼362室,马佳,兄弟姐妹,14182265434,B,B,B,C,B,B,B,B,C,低绩效-低潜力,低绩效-低潜力,2024-06-11,2024-03-22,在职,,
EMP0088,马涛,440103198306189874,汉族,男,1983-06-18,董事会办公室,董事会办公室,董事长助理,总监,2022-09-01,2.5,2024-09-23,0.5,杭州,硕士,中央财经大学,会计学,硕士,中央财经大学,会计学,中央财经大学,硕士,2025-09-18,离异,北京市浦东新区人民路690号22楼1717室,马峰,其他,18836229355,,,,,,D,C,B,A,低绩效-中潜力,低绩效-高潜力,,,在职,,
EMP0089,林婷,310105200103160696,汉族,男,2001-03-16,财务管理部,业财一体化部,财务BA,中级,2009-08-04,15.6,2019-11-19,5.3,深圳,博士,北京理工大学,数量经济学,博士,北京理工大学,数量经济学,北京理工大学,博士,2020-11-13,未婚,四川省江干区解放路342号17楼125室,赵怡,配偶,16568280509,C,B,C,C,B,A,D,B,A,低绩效-低潜力,低绩效-高潜力,2021-06-03,,在职,,
EMP0090,王杰,110109197606069214,汉族,男,1976-06-06,市场运营部,数字化营销部,营销总监,中级,2013-04-18,11.9,2021-10-08,3.4,杭州,本科,哈尔滨工业大学,工商管理,本科,哈尔滨工业大学,工商管理,哈尔滨工业大学,本科,2023-09-28,已婚未育,浙江省浦东新区中关村大街470号11楼1457室,杨怡,子女,16872386734,B,A,B,A+,B,B,A,B,C,中绩效-中潜力,中绩效-中潜力,,,在职,,
EMP0091,林涛,310105199601176556,维吾尔族,男,1996-01-17,产融数字研究院,集团总行部,行研总监,初级,2013-04-27,11.9,2022-08-16,2.6,广州,硕士,同济大学,经济学,硕士,同济大学,经济学,同济大学,硕士,2027-07-21,已婚未育,浙江省锦江区人民路168号26楼1526室,徐杰,兄弟姐妹,13984812188,A+,B,D,A,D,B,A,B,B,中绩效-中潜力,低绩效-高潜力,,2027-05-23,在职,,
EMP0092,朱峰,110109198706175297,汉族,男,1987-06-17,财务管理部,预算管理部,预算经理,中级,2023-04-03,1.9,2025-10-07,-0.6,杭州,硕士,中央财经大学,会计学,硕士,中南财经政法大学,会计学,中央财经大学,硕士,2027-09-27,已婚已育,四川省江干区人民路494号24楼1333室,胡怡,其他,18390883524,,,,,,,,,,低绩效-低潜力,低绩效-低潜力,,2029-10-02,在职,,
EMP0093,罗涛,110105198304177104,汉族,女,1983-04-17,董事会办公室,董事会办公室,董事会事务专员,总监,2005-09-01,19.5,2019-06-15,5.7,北京,本科,西南财经大学,法学,硕士,北京大学,工商管理,西南财经大学,本科,2028-06-14,已婚已育,北京市朝阳区建国路88号2号楼1501室,张明,配偶,13800138001,B,B,B,A,A+,B,C,B,A,高绩效-中潜力,高绩效-高潜力,2024-03-12,2024-08-01,在职,,
EMP0094,李涛,110106198304115049,汉族,女,1983-04-11,董事会办公室,董事会办公室,董事会事务专员,总监,2005-07-01,19.7,2019-03-01,6.0,北京,本科,中央财经大学,金融学,硕士,清华大学,金融,中央财经大学,本科,2027-02-28,已婚已育,北京市海淀区中关村大街100号5单元1201室,王强,父母,13900139002,A,B,C,B,A+,A,A,B,B,中绩效-中潜力,中绩效-低潜力,,,在职,,
EMP0095,郭娜,110106199808155049,汉族,女,1998-08-15,董事会办公室,董事会办公室,董事长助理,总监,2019-09-01,5.5,2019-09-08,5.5,北京,本科,中山大学,工商管理,硕士,中欧国际工商学院,EMBA,中山大学,本科,2022-09-07,离异,上海市浦东新区世纪大道200号3号楼801室,刘洋,父母,13700137003,,C,B,A,A,A,A,B,A+,中绩效-中潜力,中绩效-中潜力,2023-01-16,2024-02-10,离职,2019-12-25,职业发展
